Rk,Team,ATL,BOS,CHO,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,BRK,NLP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
12,Los Angeles Clippers,0.5,0.0,1.0,0.0,0.0,0.6667,0.75,1.0,0.5,1.0,0.0,,0.3333,0.6667,1.0,1.0,0.25,0.5,0.6667,0.0,0.75,1.0,1.0,0.25,0.75,1.0,0.3333,1.0,0.6667,1.0
13,Los Angeles Lakers,1.0,1.0,1.0,0.0,1.0,1.0,0.75,0.0,1.0,0.3333,0.0,0.6667,,0.6667,0.5,0.0,1.0,1.0,1.0,0.5,0.3333,0.0,0.0,0.5,0.6667,0.3333,0.3333,1.0,0.5,0.0
14,Memphis Grizzlies,1.0,0.0,1.0,0.5,1.0,0.6667,1.0,1.0,1.0,0.5,1.0,0.3333,0.3333,,1.0,1.0,1.0,1.0,0.75,1.0,0.25,1.0,1.0,0.3333,0.3333,0.6667,0.0,0.5,0.3333,1.0
15,Miami Heat,0.75,0.25,1.0,0.5,1.0,1.0,0.0,1.0,0.0,1.0,0.75,0.0,0.5,0.0,,0.3333,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3333
16,Milwaukee Bucks,0.3333,0.0,0.6667,0.0,1.0,0.0,0.0,0.75,1.0,1.0,0.0,0.0,1.0,0.0,0.6667,,1.0,1.0,0.0,0.5,0.0,0.0,0.3333,0.0,1.0,0.0,1.0,1.0,0.0,0.75
17,Minnesota Timberwolves,0.0,0.0,1.0,0.0,0.0,0.6667,0.25,1.0,0.3333,0.75,0.0,0.75,0.0,0.0,0.0,0.0,,1.0,0.3333,0.0,0.0,0.0,1.0,0.3333,0.6667,0.5,0.6667,0.0,0.3333,1.0
18,Brooklyn Nets,0.0,0.0,1.0,0.3333,0.5,1.0,0.0,0.3333,1.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.3333,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.5,0.0,0.6667
19,New Orleans Pelicans,0.0,1.0,0.5,0.0,1.0,0.3333,0.5,0.0,0.6667,0.3333,0.0,0.3333,0.0,0.25,0.0,1.0,0.6667,1.0,,1.0,0.0,1.0,0.0,0.25,0.0,0.25,0.0,0.0,0.6667,0.0
20,New York Knicks,0.6667,0.5,0.75,0.25,0.5,0.5,0.0,1.0,0.0,0.0,0.6667,1.0,0.5,0.0,0.0,0.5,1.0,0.6667,0.0,,0.0,0.6667,0.6667,0.0,1.0,1.0,0.0,0.5,1.0,1.0
21,Oklahoma City Thunder,0.0,1.0,1.0,1.0,0.0,0.75,0.6667,1.0,1.0,0.5,0.0,0.25,0.6667,0.75,0.5,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.75,0.75,0.3333,1.0,0.6667,0.0
22,Orlando Magic,0.0,0.0,0.75,0.3333,1.0,0.0,0.0,0.3333,1.0,1.0,0.75,0.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.3333,0.0,,0.75,1.0,1.0,1.0,0.0,1.0,0.0,0.75
23,Philadelphia 76ers,1.0,0.6667,1.0,0.3333,1.0,0.0,0.0,0.75,1.0,0.0,0.5,0.0,1.0,0.0,0.0,0.6667,0.0,0.5,1.0,0.3333,0.0,0.25,,1.0,0.0,1.0,0.0,0.6667,0.5,0.75
24,Phoenix Suns,0.5,1.0,1.0,0.0,0.5,0.25,0.0,1.0,0.3333,0.5,1.0,0.75,0.5,0.6667,0.0,1.0,0.6667,0.0,0.75,1.0,0.0,0.0,0.0,,0.6667,1.0,0.0,0.0,0.6667,1.0
25,Portland Trail Blazers,0.5,0.0,1.0,1.0,1.0,0.3333,0.6667,0.0,0.75,0.0,0.0,0.25,0.3333,0.6667,0.0,0.0,0.3333,1.0,1.0,0.0,0.25,0.0,1.0,0.3333,,0.5,0.3333,1.0,0.0,0.5
26,Sacramento Kings,0.0,1.0,1.0,0.0,0.0,0.3333,0.0,0.0,0.25,0.0,1.0,0.0,0.6667,0.3333,0.0,1.0,0.5,0.0,0.75,0.0,0.25,0.0,0.0,0.0,0.5,,0.3333,1.0,0.5,1.0
27,San Antonio Spurs,1.0,1.0,1.0,0.0,1.0,0.5,0.6667,1.0,1.0,0.5,1.0,0.6667,0.6667,1.0,0.0,0.0,0.3333,1.0,1.0,1.0,0.6667,1.0,1.0,1.0,0.6667,0.6667,,1.0,0.75,1.0
28,Toronto Raptors,0.25,0.5,0.3333,0.0,0.75,0.0,0.5,0.3333,1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,1.0,0.5,0.0,0.0,0.3333,1.0,0.0,0.0,0.0,,1.0,0.5
29,Utah Jazz,0.0,0.0,1.0,0.0,1.0,0.25,0.6667,1.0,0.75,0.6667,0.0,0.3333,0.5,0.6667,1.0,1.0,0.6667,1.0,0.3333,0.0,0.3333,1.0,0.5,0.3333,1.0,0.5,0.25,0.0,,1.0
30,Washington Wizards,0.0,0.0,1.0,0.3333,0.6667,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,1.0,0.0,0.6667,0.25,0.0,0.3333,1.0,0.0,1.0,0.25,0.25,0.0,0.5,0.0,0.0,0.5,0.0,
