Rk,Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
11,Houston Rockets,0.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,0.25,,0.0,0.6667,0.6667,0.5,0.0,0.5,0.75,0.75,1.0,0.75,1.0,1.0,1.0,0.6667,1.0,0.25,0.5,0.3333,1.0
12,Indiana Pacers,0.6667,0.0,0.75,0.5,0.5,0.25,0.5,0.0,1.0,0.0,1.0,,1.0,0.5,0.5,0.3333,0.25,0.5,0.5,0.25,1.0,1.0,0.75,0.5,0.5,1.0,0.0,0.3333,0.5,0.25
13,Los Angeles Clippers,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.25,0.5,0.0,0.3333,0.0,,0.75,0.75,1.0,0.0,0.3333,0.6667,1.0,0.5,1.0,0.5,1.0,1.0,0.75,0.75,0.5,0.75,0.5
14,Los Angeles Lakers,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.3333,0.0,0.25,0.3333,0.5,0.25,,0.6667,0.5,0.5,0.5,0.5,0.5,0.3333,0.5,0.5,0.5,0.0,0.5,0.25,0.0,0.0,0.0
15,Memphis Grizzlies,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.25,0.3333,,0.5,0.5,0.75,0.5,0.5,0.25,0.5,1.0,1.0,0.3333,0.5,0.5,0.5,0.75,0.5
16,Miami Heat,0.5,0.0,1.0,0.3333,0.5,0.75,0.5,0.5,0.5,0.5,1.0,0.6667,0.0,0.5,0.5,,0.75,1.0,0.5,0.3333,0.0,0.25,0.5,0.5,0.0,1.0,0.0,0.25,0.5,1.0
17,Milwaukee Bucks,0.25,0.3333,1.0,0.75,0.6667,0.25,0.0,0.0,0.75,0.0,0.5,0.75,1.0,0.5,0.5,0.25,,0.5,0.5,0.6667,0.5,0.6667,0.5,1.0,1.0,1.0,0.5,0.25,0.0,0.25
18,Minnesota Timberwolves,1.0,0.0,0.5,1.0,0.5,0.0,0.6667,0.5,0.0,0.25,0.25,0.5,0.6667,0.5,0.25,0.0,0.5,,0.0,0.0,0.25,1.0,0.5,1.0,0.25,0.25,0.0,0.5,0.25,0.5
19,New Orleans Pelicans,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.25,0.5,0.0,0.25,0.5,0.3333,0.5,0.5,0.5,0.5,1.0,,1.0,0.0,0.5,0.5,0.75,0.75,0.3333,0.25,0.0,0.0,0.0
20,New York Knicks,0.25,0.25,0.5,1.0,0.6667,0.0,0.5,0.0,0.5,0.0,0.0,0.75,0.0,0.5,0.5,0.6667,0.3333,1.0,0.0,,0.0,0.75,0.5,0.0,0.5,1.0,0.5,0.0,0.0,0.0
21,Oklahoma City Thunder,0.5,1.0,1.0,0.5,0.0,0.5,0.6667,0.75,0.5,0.0,0.25,0.0,0.5,0.6667,0.75,1.0,0.5,0.75,1.0,1.0,,0.5,1.0,0.5,0.25,0.6667,0.3333,0.5,0.75,0.5
22,Orlando Magic,0.5,0.0,0.6667,0.25,0.0,0.0,0.5,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.5,0.75,0.3333,0.0,0.5,0.25,0.5,,0.75,0.5,0.5,0.5,0.5,0.5,0.0,0.5
23,Philadelphia 76ers,0.0,0.25,0.75,0.25,0.6667,0.0,0.5,0.5,0.3333,0.0,0.0,0.25,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.25,,0.5,0.5,0.5,0.0,0.25,0.0,0.6667
24,Phoenix Suns,0.5,0.5,0.0,0.5,0.5,0.0,0.75,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.25,1.0,0.5,0.5,0.5,,0.25,0.25,0.3333,1.0,0.0,0.0
25,Portland Trail Blazers,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.75,0.0,0.0,0.3333,0.5,0.0,1.0,0.6667,1.0,0.0,0.75,0.25,0.5,0.75,0.5,0.5,0.75,,0.6667,0.5,0.0,0.5,0.0
26,Sacramento Kings,0.5,0.5,0.5,0.0,0.5,0.5,0.6667,0.5,1.0,0.25,0.0,0.0,0.25,0.5,0.5,0.0,0.0,0.75,0.6667,0.0,0.3333,0.5,0.5,0.75,0.3333,,0.0,1.0,0.25,0.0
27,San Antonio Spurs,0.5,1.0,1.0,0.5,1.0,1.0,0.75,1.0,1.0,0.6667,0.75,1.0,0.25,0.75,0.5,1.0,0.5,1.0,0.75,0.5,0.6667,0.5,1.0,0.6667,0.5,1.0,,1.0,0.5,1.0
28,Toronto Raptors,0.3333,0.75,1.0,0.3333,0.5,0.25,1.0,1.0,0.75,0.0,0.5,0.6667,0.5,1.0,0.5,0.75,0.75,0.5,1.0,1.0,0.5,0.5,0.75,0.0,1.0,0.0,0.0,,1.0,0.6667
29,Utah Jazz,1.0,0.0,1.0,0.0,0.5,0.5,0.75,0.5,1.0,0.3333,0.6667,0.5,0.25,1.0,0.25,0.5,1.0,0.75,1.0,1.0,0.25,1.0,1.0,1.0,0.5,0.75,0.5,0.0,,1.0
30,Washington Wizards,0.75,0.5,1.0,0.75,0.75,0.3333,0.0,1.0,0.6667,0.5,0.0,0.75,0.5,1.0,0.5,0.0,0.75,0.5,1.0,1.0,0.5,0.5,0.3333,1.0,1.0,1.0,0.0,0.3333,0.0,
